date,time,symbol,option_type,type,strike_offset,open,high,low,close,volume,oi,iv,spot
"=""02-02-26""",12:09:00,NIFTY,PUT,PE,ATM+8,522.6,525.35,522.6,523.95,195,294125.0,15.902413,24855.55
"=""02-02-26""",12:12:00,NIFTY,PUT,PE,ATM+8,546.75,552.7,510.3,514.05,10725,1729195.0,15.586236,24910.45
"=""02-02-26""",12:15:00,NIFTY,PUT,PE,ATM+8,508.45,544.9,503.3,532.1,11180,103545.0,15.491312,24927.25
"=""02-02-26""",12:18:00,NIFTY,PUT,PE,ATM+8,504.1,530.2,502.05,530.0,9555,1721265.0,15.746142,24889.95
"=""02-02-26""",12:21:00,NIFTY,PUT,PE,ATM+8,526.3,532.5,520.95,520.95,5525,1719965.0,15.554397,24897.45
"=""02-02-26""",12:24:00,NIFTY,PUT,PE,ATM+8,521.6,532.7,520.6,529.45,2925,1720875.0,15.8011,24893.05
"=""02-02-26""",12:27:00,NIFTY,PUT,PE,ATM+8,524.0,529.45,521.3,521.75,5330,1720875.0,15.576164,24896.95
"=""02-02-26""",12:30:00,NIFTY,PUT,PE,ATM+8,523.8,540.85,521.75,540.85,1430,1722175.0,15.852745,24876.0
"=""02-02-26""",12:33:00,NIFTY,PUT,PE,ATM+8,535.0,540.85,508.4,508.4,1365,294190.0,15.598238,24869.5
"=""02-02-26""",12:36:00,NIFTY,PUT,PE,ATM+8,508.4,508.4,508.4,508.4,0,294190.0,15.648562,24871.55
"=""02-02-26""",12:39:00,NIFTY,PUT,PE,ATM+8,531.45,540.7,529.8,534.05,4095,1715740.0,15.709217,24881.6
"=""02-02-26""",12:42:00,NIFTY,PUT,PE,ATM+8,535.0,535.0,508.4,508.4,3055,294190.0,15.632261,24870.85
"=""02-02-26""",12:45:00,NIFTY,PUT,PE,ATM+8,508.4,538.45,508.4,534.0,910,1712490.0,15.62195,24878.2
"=""02-02-26""",12:48:00,NIFTY,PUT,PE,ATM+8,528.0,534.0,511.3,520.2,8645,1711580.0,15.448895,24894.35
"=""02-02-26""",12:51:00,NIFTY,PUT,PE,ATM+8,521.95,522.55,518.25,522.55,6175,1710345.0,15.3217,24885.35
"=""02-02-26""",12:54:00,NIFTY,PUT,PE,ATM+8,526.1,526.9,508.95,508.95,3705,1709370.0,15.390833,24910.95
"=""02-02-26""",12:57:00,NIFTY,PUT,PE,ATM+8,508.15,553.95,505.0,514.9,5525,104065.0,15.059233,24938.55
"=""02-02-26""",13:00:00,NIFTY,PUT,PE,ATM+8,514.9,521.3,514.9,521.3,520,104065.0,15.365803,24940.05
"=""02-02-26""",13:03:00,NIFTY,PUT,PE,ATM+8,521.3,521.3,510.2,510.2,260,104195.0,15.256963,24954.3
"=""02-02-26""",13:06:00,NIFTY,PUT,PE,ATM+8,505.45,510.2,502.95,503.0,390,104325.0,15.029732,24957.25
"=""02-02-26""",13:09:00,NIFTY,PUT,PE,ATM+8,503.0,503.0,499.0,499.0,65,104195.0,14.880334,24957.95
"=""02-02-26""",13:12:00,NIFTY,PUT,PE,ATM+8,499.0,499.0,499.0,499.0,0,104195.0,14.306004,24935.2
"=""02-02-26""",13:15:00,NIFTY,PUT,PE,ATM+8,499.0,503.0,492.15,503.0,2925,1700985.0,15.154639,24911.35
"=""02-02-26""",13:18:00,NIFTY,PUT,PE,ATM+8,511.0,530.95,503.0,522.9,7475,1699165.0,15.246983,24881.7
"=""02-02-26""",13:21:00,NIFTY,PUT,PE,ATM+8,497.5,511.7,489.65,511.7,455,294515.0,15.675859,24866.8
"=""02-02-26""",13:24:00,NIFTY,PUT,PE,ATM+8,511.7,536.2,511.7,533.0,455,1700595.0,15.528571,24876.0
"=""02-02-26""",13:27:00,NIFTY,PUT,PE,ATM+8,531.05,533.0,506.9,519.6,6630,1699230.0,15.465817,24895.85
"=""02-02-26""",13:30:00,NIFTY,PUT,PE,ATM+8,515.6,528.05,487.05,487.05,455,294385.0,14.801789,24873.1
"=""02-02-26""",13:33:00,NIFTY,PUT,PE,ATM+8,528.4,536.45,527.0,527.0,1105,1698255.0,15.448071,24882.75
"=""02-02-26""",13:36:00,NIFTY,PUT,PE,ATM+8,527.2,527.2,509.95,509.95,3250,1696955.0,15.203325,24901.5
"=""02-02-26""",13:39:00,NIFTY,PUT,PE,ATM+8,509.95,568.0,491.95,523.15,8320,103805.0,15.187827,24929.75
"=""02-02-26""",13:42:00,NIFTY,PUT,PE,ATM+8,516.6,523.15,516.6,516.6,195,103805.0,15.771595,24964.2
"=""02-02-26""",13:45:00,NIFTY,PUT,PE,ATM+8,516.6,516.6,501.7,501.7,130,104000.0,14.926289,24955.1
"=""02-02-26""",13:48:00,NIFTY,PUT,PE,ATM+8,501.05,501.7,501.05,501.05,390,104000.0,14.967831,24957.85
"=""02-02-26""",13:51:00,NIFTY,PUT,PE,ATM+8,527.45,530.35,484.1,484.1,16250,104130.0,14.525272,24968.55
"=""02-02-26""",13:54:00,NIFTY,PUT,PE,ATM+8,484.1,497.3,484.1,497.3,65,104195.0,14.711806,24953.85
"=""02-02-26""",13:57:00,NIFTY,PUT,PE,ATM+8,497.3,497.3,497.3,497.3,0,104195.0,14.580147,24948.6
"=""02-02-26""",14:00:00,NIFTY,PUT,PE,ATM+8,520.0,520.0,497.3,520.0,195,104130.0,15.54796,24949.25
"=""02-02-26""",14:03:00,NIFTY,PUT,PE,ATM+8,520.0,520.0,498.6,498.6,195,104130.0,14.86704,24957.85
"=""02-02-26""",14:06:00,NIFTY,PUT,PE,ATM+8,498.6,513.55,498.6,513.55,390,104000.0,14.913646,24934.75
"=""02-02-26""",14:09:00,NIFTY,PUT,PE,ATM+8,513.5,513.55,485.0,492.55,1625,1679730.0,15.052889,24924.7
"=""02-02-26""",14:12:00,NIFTY,PUT,PE,ATM+8,513.5,513.5,513.5,513.5,0,104000.0,15.125955,24943.2
"=""02-02-26""",14:15:00,NIFTY,PUT,PE,ATM+8,513.5,513.5,513.5,513.5,0,104000.0,14.890855,24933.9
"=""02-02-26""",14:18:00,NIFTY,PUT,PE,ATM+8,513.5,513.5,513.5,513.5,0,104000.0,15.170581,24944.95
"=""02-02-26""",14:21:00,NIFTY,PUT,PE,ATM+8,513.5,513.5,513.5,513.5,0,104000.0,15.455871,24956.4
"=""02-02-26""",14:24:00,NIFTY,PUT,PE,ATM+8,513.5,513.5,503.05,503.05,65,104000.0,15.060437,24958.05
"=""02-02-26""",14:27:00,NIFTY,PUT,PE,ATM+8,502.9,504.05,502.9,503.2,390,104000.0,15.413457,24972.15
"=""02-02-26""",14:30:00,NIFTY,PUT,PE,ATM+8,494.7,503.2,490.9,500.25,715,103740.0,14.977538,24959.4
"=""02-02-26""",14:33:00,NIFTY,PUT,PE,ATM+8,507.0,507.0,500.25,507.0,130,103545.0,14.983629,24948.3
"=""02-02-26""",14:36:00,NIFTY,PUT,PE,ATM+8,507.0,507.0,507.0,507.0,0,103545.0,14.982706,24948.25
"=""02-02-26""",14:39:00,NIFTY,PUT,PE,ATM+8,507.0,507.0,507.0,507.0,0,103545.0,15.011871,24949.4
"=""02-02-26""",14:42:00,NIFTY,PUT,PE,ATM+8,507.0,507.0,507.0,507.0,0,103545.0,15.161892,24955.4
"=""02-02-26""",14:45:00,NIFTY,PUT,PE,ATM+8,507.0,532.15,507.0,513.6,585,1850485.0,14.819194,24981.65
"=""02-02-26""",14:48:00,NIFTY,PUT,PE,ATM+8,511.2,514.85,501.6,510.0,4940,1850485.0,15.07134,24997.6
"=""02-02-26""",14:51:00,NIFTY,PUT,PE,ATM+8,502.45,510.0,483.0,488.6,8840,1847365.0,14.585472,25014.0
"=""02-02-26""",14:54:00,NIFTY,PUT,PE,ATM+8,491.4,566.35,481.3,485.7,1755,1846455.0,14.717541,25024.25
"=""02-02-26""",14:57:00,NIFTY,PUT,PE,ATM+8,566.35,566.35,483.7,566.35,1300,70395.0,17.045694,25033.3
"=""02-02-26""",15:00:00,NIFTY,PUT,PE,ATM+8,566.35,566.35,566.35,566.35,0,70395.0,17.824807,25065.65
"=""02-02-26""",15:03:00,NIFTY,PUT,PE,ATM+8,566.35,566.35,489.05,516.45,10010,3222115.0,14.982418,25085.0
"=""02-02-26""",15:06:00,NIFTY,PUT,PE,ATM+8,516.5,519.8,489.05,489.05,14625,70395.0,14.844826,25074.6
"=""02-02-26""",15:09:00,NIFTY,PUT,PE,ATM+8,523.95,526.1,514.65,520.7,16250,3222375.0,15.084058,25081.95
"=""02-02-26""",15:12:00,NIFTY,PUT,PE,ATM+8,521.5,523.25,516.4,519.75,11960,3218345.0,15.158022,25086.45
"=""02-02-26""",15:15:00,NIFTY,PUT,PE,ATM+8,520.2,520.2,505.05,505.85,18200,3218345.0,15.095101,25107.2
"=""02-02-26""",15:18:00,NIFTY,PUT,PE,ATM+8,508.0,516.8,505.0,516.8,9685,3217565.0,15.07929,25088.2
"=""02-02-26""",15:21:00,NIFTY,PUT,PE,ATM+8,517.1,517.1,509.1,512.35,6110,3218410.0,14.939997,25090.05
"=""02-02-26""",15:24:00,NIFTY,PUT,PE,ATM+8,512.35,514.7,504.95,507.0,71175,3218150.0,14.776881,25092.45
"=""02-02-26""",15:27:00,NIFTY,PUT,PE,ATM+8,507.8,513.05,503.35,504.7,16315,3219060.0,14.361734,25079.9
"=""03-02-26""",09:15:00,NIFTY,PUT,PE,ATM+8,363.5,675.95,333.75,539.1,156195,372385.0,15.652559,25781.45
"=""03-02-26""",09:18:00,NIFTY,PUT,PE,ATM+8,547.45,557.7,525.05,557.7,45045,36725.0,16.897511,25852.25
"=""03-02-26""",09:21:00,NIFTY,PUT,PE,ATM+8,557.7,557.7,548.45,549.0,260,36855.0,16.300712,25842.2
"=""03-02-26""",09:24:00,NIFTY,PUT,PE,ATM+8,514.4,561.75,506.4,552.35,45370,374205.0,16.125928,25778.4
"=""03-02-26""",09:27:00,NIFTY,PUT,PE,ATM+8,555.45,563.3,530.15,535.8,21125,371150.0,15.636308,25786.25
"=""03-02-26""",09:30:00,NIFTY,PUT,PE,ATM+8,512.3,549.45,510.8,548.3,16445,368095.0,15.993959,25779.8
"=""03-02-26""",09:33:00,NIFTY,PUT,PE,ATM+8,515.75,517.2,514.0,514.0,390,22620.0,15.182162,25753.45
"=""03-02-26""",09:36:00,NIFTY,PUT,PE,ATM+8,526.1,534.7,514.0,524.5,4290,22035.0,16.130287,25774.9
"=""03-02-26""",09:39:00,NIFTY,PUT,PE,ATM+8,525.4,525.4,515.55,515.55,650,22035.0,14.975582,25742.45
"=""03-02-26""",09:42:00,NIFTY,PUT,PE,ATM+8,515.55,515.55,515.55,515.55,0,22035.0,14.5952,25727.3
