entry_dt,exit_dt,entry_spot,exit_spot,strike,dte_entry,entry_iv_pct,entry_rv_pct,entry_ivr,entry_straddle,exit_straddle,straddle_pnl,hedge_pnl,costs,realized_pnl,exit_reason,duration_mins,hedge_count,hedge_revert,hedge_sl,er_entry,cumulative_pnl
2024-09-02 09:30:00,2024-09-02 10:58:00,25306.2,25307.7,25300,3,11.978756,14.26612272770528,12.74947489808748,229.25,221.39999999999998,-510.2500000000015,0.0,120,-630.2500000000015,theta_bleed,88.0,0,0,0,0.2790374826469143,-630.2500000000015
2024-09-09 09:30:00,2024-09-09 10:58:00,24765.1,24882.9,24750,3,14.8089055,16.191199175943275,24.826578144203385,277.5,242.7,-2262.000000000001,19.74999999999943,120,-2362.2500000000014,theta_bleed,88.0,2,0,0,0.2353119321623172,-2992.5000000000027
2024-09-16 09:30:00,2024-09-16 10:58:00,25399.75,25395.55,25400,3,12.090299,12.673037804158064,3.806187705916918,231.8,227.85,-256.75000000000114,0.0,120,-376.75000000000114,theta_bleed,88.0,0,0,0,0.21171586715866125,-3369.2500000000036
2024-09-23 09:30:00,2024-09-23 10:58:00,25897.5,25880.5,25900,3,14.325911000000001,19.851431146088913,4.545996359064759,279.70000000000005,262.05,-1147.2500000000023,0.0,120,-1267.2500000000023,theta_bleed,88.0,0,0,0,0.2898835230990686,-4636.5000000000055
2024-09-30 09:30:00,2024-09-30 11:00:00,26039.15,25939.55,26050,3,12.4285085,15.886916131099774,3.91810798308344,243.8,241.20000000000002,-168.99999999999963,235.75000000000074,120,-53.24999999999889,theta_bleed,90.0,1,1,0,0.39729962654408363,-4689.750000000005
2024-10-07 11:23:00,2024-10-07 13:14:00,24947.35,24793.85,24950,3,19.6380905,19.4090056435981,6.336644590180514,364.55,394.54999999999995,1949.9999999999964,3008.500000000002,120,4838.499999999998,vega_win,111.0,5,4,0,0.016905784519784743,148.74999999999363
2024-10-21 09:30:00,2024-10-21 09:49:00,24889.3,24714.5,24900,3,13.6556945,17.577110196829953,3.109148315813529,256.0,280.70000000000005,1605.500000000003,2259.000000000002,120,3744.5000000000045,vega_win,19.0,2,0,0,0.11250000000000393,3893.249999999998
2024-10-21 09:50:00,2024-10-21 11:18:00,24719.65,24799.0,24700,3,14.889041,20.934253406953207,3.3899584344998774,278.29999999999995,251.3,-1754.9999999999964,569.2500000000011,120,-1305.7499999999952,theta_bleed,88.0,4,3,0,0.2944652353752275,2587.5000000000027
2024-10-28 09:46:00,2024-10-28 10:50:00,24188.05,24429.6,24200,3,15.704545,16.02229300411078,3.5756335671809136,285.54999999999995,245.85000000000002,-2580.4999999999955,-22.249999999995737,120,-2722.7499999999914,max_drawdown,64.0,4,1,1,0.08733740376958077,-135.24999999998863
2024-11-04 09:59:00,2024-11-04 11:02:00,24063.95,23853.0,24050,3,22.8273135,22.431579674661588,5.197355822735521,412.95,448.29999999999995,2297.7499999999977,1607.4999999999982,120,3785.249999999996,vega_win,63.0,3,1,0,0.1479832726291634,3650.0000000000073
2024-11-11 09:30:00,2024-11-11 10:58:00,24113.5,24256.1,24100,3,15.123814499999998,19.599755085621954,3.4434120052518185,275.8,256.4,-1261.0000000000023,36.24999999999909,120,-1344.7500000000032,theta_bleed,88.0,4,2,0,0.0644768856447712,2305.250000000004
2024-11-18 09:30:00,2024-11-18 10:58:00,23488.3,23408.85,23500,3,16.207293,16.245018887966502,3.690099960485086,286.65,266.9,-1283.75,686.5000000000015,120,-717.2499999999985,theta_bleed,88.0,6,4,0,0.12270559329383043,1588.0000000000055
2024-11-25 09:30:00,2024-11-25 10:58:00,24315.6,24311.0,24300,3,18.594812,71.12218349770716,9.10464970793305,341.45,302.95,-2502.5,-588.0000000000011,120,-3210.500000000001,theta_bleed,88.0,2,1,0,0.45157020815786103,-1622.4999999999955
2024-12-02 09:30:00,2024-12-02 12:31:00,24062.25,24173.5,24050,3,16.953923000000003,16.481456549089394,11.051620685844595,308.1,337.3,1897.9999999999993,1151.0000000000002,120,2928.9999999999995,vega_win,181.0,4,4,0,0.2497365648050618,1306.500000000004
2024-12-23 09:30:00,2024-12-23 10:01:00,23781.25,23744.6,23800,3,15.2003375,27.61033505259481,3.741965702550913,272.15,231.89999999999998,-2616.25,-2074.7500000000014,120,-4811.000000000002,max_drawdown,31.0,3,3,0,0.3466285101055241,-3504.4999999999977
2024-12-30 09:41:00,2024-12-30 11:10:00,23745.8,23784.45,23750,3,14.021173000000001,13.654208738438445,3.443577795931543,250.65,248.9,-113.75,755.7499999999998,120,521.9999999999998,theta_bleed,89.0,1,1,0,0.20236195339930527,-2982.499999999998
